"","brood_year","wild_recruits","total_spawners","wild_spawners","hatchery_spawners","CV","recruits_per_spawner","aug_mean_flow","ice_days","sep_dec_max_flow","aug_mean_flow_rear","smolt_age3_survival"
"3",1992,17044,5061,3816,1245,0.2,3.36771389053547,-0.633384769817164,1.30574522035752,-0.791369822291005,3.31397101999048,-0.837164225770813
"4",1993,11252,5028,2580,2448,0.2,2.23786793953858,3.30461367782212,-0.607323358305825,-0.796610685341229,-0.657811129430177,-0.611466642670635
"5",1994,1951,9510,3686,5824,0.21,0.20515247108307,-0.640996909858347,0.364394014983495,-0.531073796285756,0.0253736586075837,-0.50776958192981
"6",1995,2808,10625,4968,5657,0.05,0.264282352941176,0.0376861174615711,-0.334027847068204,2.5715151635378,-0.0495819292058993,1.09809697208757
"7",1996,6836,17778,17101,677,0.04,0.384520193497581,-0.0367755598803824,-0.303661679152913,-0.576494587174037,0.772048875494363,0.69122556834559
"8",1997,7115,9612,9148,464,0.04,0.740220557636288,0.779441211390078,-0.941351205374029,-0.447220020802666,-0.706955725704131,1.24503215472946
"9",1998,10502,1547,1164,383,0.13,6.78862314156432,-0.689817673961454,-1.09318204495049,-0.438485254605708,1.84101588158837,3.36254981790948
"10",1999,15935,8130,2674,5456,0.04,1.960024600246,1.84136439308846,-1.67013923534102,0.78962285935838,0.215787360226292,1.26387693868791
"11",2000,9653,8183,5134,3049,0.04,1.17964071856287,0.226845111807672,0.72878802996699,-0.581735433564015,-0.476154732510595,-0.59153921403235
"12",2001,4764,8984,5471,3513,0.04,0.530276046304541,-0.460537515047296,-1.24501288452694,-0.394811423620919,-0.143204407400302,-0.411549536009123
"13",2002,7685,12887,9302,3585,0.03,0.596337394273299,-0.129781124463677,-1.00208354120461,-0.812333257831655,-0.935336948614216,-0.439495301807466
"14",2003,1282,14491,10632,3859,0.03,0.0884687047132703,-0.916694007365813,0.182197007491748,2.08236825650815,-0.788652136112429,-0.796565050276852
"15",2004,4986,10152,9338,814,0.06,0.49113475177305,-0.770975756090779,-0.910985037458738,0.628903214647136,-0.839755611705254,-0.205542553023517
"16",2005,1115,3248,2705,543,0.07,0.343288177339901,-0.821742491722473,-0.24292934332233,-0.188670954700908,-0.762610688101643,-0.730253063636716
"17",2006,3518,5087,4442,645,0.06,0.691566738745823,-0.74510590494477,0.516224854559951,1.66309947905417,-0.329181849763143,0.438732529419398
"18",2007,2367,1009,896,113,0.1,2.34588701684836,-0.314533091729452,1.15391438078107,0.964318183297539,-0.198801750528923,-0.486319684210501
"19",2008,6645,4411,3571,840,0.08,1.50646111992745,-0.185012115853068,1.15391438078107,-0.651613563139678,-0.833187630433666,-0.44544984754658
"20",2009,4312,538,431,107,0.11,8.01486988847584,-0.815217789342045,-0.425126350814078,-0.310957681458319,0.0329210754177421,-0.235179951134108
"21",2010,7082,5257,2853,2404,0.06,1.34715617272208,0.0451838015125814,1.12354821286578,-0.697034354027957,0.89828075000424,-0.70589355834034
"22",2011,4703,2731,2153,578,0.07,1.72207982424021,0.90484129675014,-0.759154197882282,-0.520592070185309,0.336488323381874,-0.248442348462135
"23",2012,1901,5702,5121,581,0.09,0.33339179235356,0.346750731062081,1.15391438078107,-0.216622179874783,-0.340877455583508,-0.477151037078115
"24",2013,1011,3445,1974,1471,0.07,0.293468795355588,-0.326151630817983,1.85233624283277,-0.744202071499236,-0.373774949617064,-0.369732385250343
